Group,PAST_DUE_DAYS_ORD_STATUS,PAST_DUE_ORD_STATUS_DAYCOUNT,BRANCH NAME,BILL_NAME,Shipto,Business Unit,Mfr,Customer Part #,MFR Part #,CAT,Order Number, Value , Value-Alloc ,Ordered,Required,Commited,Resale,Qty,Alloc,Balance,Mtl Avl,Bos Avl,UK Avl,Asia Avl,PBO,CBO,POQ,MPQ,SOQ,ViaCode,Tariff Class,OS Name
Discrete,> 14 Days,54,SINGAPORE,OSI OPTOELECTRONICS SDN BHD      ,NS940100,Discrete,IFA,PC69624,IRL3705ZSTRLPBF,1,PO10034839,5290.56,5290.56,12/5/2022 0:00,4/25/2023 0:00,1/1/2049 0:00,0.6012,8800,8800,0.0,0,0,0,0,54400,111200,800,800,800,AMMYFCA9,LL026,"NG, BRYAN (A-01)            "
Discrete,> 14 Days,24,SINGAPORE,OSI OPTOELECTRONICS SDN BHD      ,NS940100,Discrete,IFA,PC69624,IRL3705ZSTRLPBF,1,PO10034839,5290.56,5290.56,12/5/2022 0:00,5/25/2023 0:00,1/1/2049 0:00,0.6012,8800,8800,0.0,0,0,0,0,54400,111200,800,800,800,AMMYFCA9,LL026,"NG, BRYAN (A-01)            "
Discrete,> 14 Days,61,SINGAPORE,OSI OPTOELECTRONICS SDN BHD      ,NS940100,Discrete,IFA,PC69624,IRL3705ZSTRLPBF,1,PO10034957,2404.8,2404.8,11/22/2022 0:00,4/3/2023 0:00,1/1/2049 0:00,0.6012,4000,4000,0.0,0,0,0,0,54400,111200,800,800,800,AMMYFCA9,LL026,"NG, BRYAN (A-01)            "
Discrete,> 14 Days,54,SINGAPORE,OSI OPTOELECTRONICS SDN BHD      ,NS940100,Discrete,IFA,PC69624,IRL3705ZSTRLPBF,1,PO10035413,5290.56,5290.56,1/3/2023 0:00,4/25/2023 0:00,1/1/2049 0:00,0.6012,8800,8800,0.0,0,0,0,0,54400,111200,800,800,800,AMMYFCA9,LL026,"NG, BRYAN (A-01)            "
Discrete,> 14 Days,26,SINGAPORE,OSI OPTOELECTRONICS SDN BHD      ,NS940100,Discrete,IFA,PC69624,IRL3705ZSTRLPBF,1,PO10035413,10100.16,10100.16,1/3/2023 0:00,5/23/2023 0:00,1/1/2049 0:00,0.6012,16800,16800,0.0,0,0,0,0,54400,111200,800,800,800,AMMYFCA9,LL026,"NG, BRYAN (A-01)            "
Passive,> 14 Days,300,SINGAPORE,PCI PRIVATE LIMITED              ,PS955300,Passive,SMP,CG161-1179R00,CL05A334KA5NNNC,1,4510292577,330,330,4/22/2022 0:00,6/15/2023 0:00,1/1/2049 0:00,0.0165,20000,20000,0.0,0,0,0,130000,100000,170000,100000,10000,10000,AMIDFCA97,KK123,"LU, ADELINE (A-01)          "
E-Mech,> 14 Days,63,VIETNAM,XP POWER SINGAPORE MANUFACTURING ,XS005401,E-Mech,QLK,IN60000035708,369002-E01,1,1500037675..," 1,560.00 "," 1,560.00 ",10/26/2022 0:00,4/15/2023 0:00,1/1/2049 0:00,5.2,300,300,0.0,0,0,0,0,0,300,100,100,100,DEWWDAP45,KK085,"LE, HENRY (A-2R)            "
Discrete,<= 14 Days,14,VIETNAM,"CHANG SE VINA CO., LTD           ",CS126900,Discrete,INX,IN-S126TASRGB,IN-S126TASRGB,2,17022023CS-001," 6,528.00 "," 1,920.00 ",3/1/2023 0:00,5/1/2023 0:00,5/1/2024 0:00,0.128,51000,15000,36000.0,0,0,15000,81000,48000,144000,3000,3000,3000,ASSAFCA,LL009,"HA, JIM (A-2R)              "
Analog,> 14 Days,47,SINGAPORE,OSI ELECTRONICS PTE LTD          ,OS956908,Analog,MCP,HA101652R2-Z,TC105333ECTTR,1,PO00327118,3084,3084,9/1/2022 0:00,4/9/2023 0:00,1/1/2049 0:00,1.028,3000,3000,0.0,0,0,0,0,0,3000,3000,3000,3000,ASIDFCA9,MM125,"NG, BRYAN (A-01)            "
Discrete,> 14 Days,26,SINGAPORE,OSI ELECTRONICS PTE LTD          ,OS956900,Discrete,IFA,153-0055-01,IRF7105TRPBF,1,PO00294178,628,628,7/9/2021 0:00,5/23/2023 0:00,2/24/2024 0:00,0.157,4000,4000,0.0,0,0,0,4000,84000,120000,4000,4000,4000,ASIDFCA9,LL026,"NG, BRYAN (A-01)            "
FLS,> 14 Days,28,SINGAPORE,SIMLITE PRIVATE LIMITED          ,SS131700,FLS,OSM,4052899607699,4052899607699,3,PO/SL/1015/23,435.980528,435.980528,3/1/2023 0:00,5/20/2023 0:00,3/8/2024 0:00,7.3,80,80,0.0,0,0,0,366,2040,2594,120,120,1,ASSGFCA,KK561,FAI ASEAN HOUSE (FAIASEAN)  
FLS,> 14 Days,46,SINGAPORE,KUM ENG HUAT ELECTRIC CO PTE LTD ,KS044300,FLS,OSM,4062172087070,4062172087070,3,KEH/002/FE,922.277987,922.277987,1/5/2023 0:00,4/20/2023 0:00,3/14/2024 0:00,41.18,30,30,0.0,0,0,0,78,0,96,15,1,1,AMSGFCA,KK609,FAI ASEAN HOUSE (FAIASEAN)  
Analog,<= 14 Days,14,SINGAPORE,VTECH COMMUNICATIONS TRADING     ,VS022300,Analog,DIO,AP22653W6@V-TRB,AP22653W6-7,1,0379712,277.5,277.5,9/5/2022 0:00,6/1/2023 0:00,9/8/2023 0:00,0.0925,3000,3000,0.0,0,0,0,15000,57000,96000,3000,3000,3000,AMSGFCA,MM124,"NG, BRYAN (A-01)            "
Analog,<= 14 Days,4,SINGAPORE,VTECH COMMUNICATIONS TRADING     ,VS022300,Analog,DIO,AP22653W6@V-TRB,AP22653W6-7,1,0385102,832.5,832.5,9/20/2022 0:00,6/14/2023 0:00,9/20/2023 0:00,0.0925,9000,9000,0.0,0,0,0,15000,57000,96000,3000,3000,3000,AMSGFCA,MM124,"NG, BRYAN (A-01)            "
Analog,> 14 Days,59,VIETNAM,DATALOGIC VIETNAM LLC            ,DS669206,Analog,FSC,054120770,FUSB302TMPX,1,4100385769," 1,140.00 "," 1,140.00 ",3/25/2022 0:00,1/9/2023 0:00,1/1/2049 0:00,0.38,3000,3000,0.0,0,0,0,0,3000,9000,3000,3000,3000,DEWWCPT24,MM231,"VO, DUCHIEU (A-2R)          "
Analog,> 14 Days,59,VIETNAM,DATALOGIC VIETNAM LLC            ,DS669206,Analog,FSC,054120770,FUSB302TMPX,1,4100374789," 1,140.00 "," 1,140.00 ",9/26/2021 0:00,1/9/2023 0:00,5/31/2023 0:00,0.38,3000,3000,0.0,0,0,0,0,3000,9000,3000,3000,3000,DEWWCPT24,MM231,"VO, DUCHIEU (A-2R)          "
Passive,> 14 Days,77,MANILA,SURFACE TECHNOLOGY INTERNATIONAL ,FS693800,Passive,PA3,68080-R1000072,ERJ-3GEYJ105V,1,6100013278,12,12,1/4/2023 0:00,4/1/2023 0:00,10/12/2023 0:00,0.0024,5000,5000,0.0,0,0,0,0,15000,20000,5000,5000,5000,DEWWEXW1,KK143,"MEDINA, MYLEEN (A-80)       "
Passive,<= 14 Days,14,SINGAPORE,"CELESTICA VALENCIA, SA           ",CS111900,Passive,SGC,B-22950ZS,CL05A105KO5NNNC,1,4503800701,0,63.6,10/4/2021 0:00,6/1/2023 0:00,1/1/2047 0:00,0.00106,0,60000,0.0,0,0,0,50000,0,80000,50000,10000,10000,DEWWEXW,KK123,HOUSE SPORE-OEM (01)        
Passive,<= 14 Days,10,SINGAPORE,"CELESTICA VALENCIA, SA           ",CS111900,Passive,SGC,3BHC530001L9108BBE,CL31B106KOHNNNE,1,4504083205,0,127.2,11/29/2022 0:00,6/8/2023 0:00,1/20/2024 0:00,0.01272,0,10000,0.0,0,0,0,212000,0,346000,10000,2000,2000,DEWWEXW,KK123,HOUSE SPORE-OEM (01)        
Passive,> 14 Days,164,SINGAPORE,OSI ELECTRONICS PTE LTD          ,OS956918,Passive,SRG,BA1018652R2,VUA680M1HTR-1010LS,1,PO00308705AUTO,693,693,12/27/2021 0:00,1/5/2023 0:00,1/1/2047 0:00,0.099,7000,7000,0.0,0,0,0,0,0,7000,5000,500,500,ASIDFCA9,KK588,"NG, BRYAN (A-01)            "
Discrete,> 14 Days,52,SINGAPORE,PCI PRIVATE LIMITED              ,PS064800,Discrete,LF,GE1002042001,V390CH8T,1,4510314201,194,194,2/5/2023 0:00,6/15/2023 0:00,1/1/2049 0:00,0.097,2000,2000,0.0,0,0,31000,0,42000,82000,1000,1000,1000,AMIDFCA97,KK081,"LU, ADELINE (A-01)          "
Discrete,> 14 Days,52,SINGAPORE,PCI PRIVATE LIMITED              ,PS064800,Discrete,LF,GE1002042001,V390CH8T,1,4510312890,388,388,1/9/2023 0:00,6/5/2023 0:00,1/1/2049 0:00,0.097,4000,4000,0.0,0,0,31000,0,42000,82000,1000,1000,1000,AMIDFCA97,KK081,"LU, ADELINE (A-01)          "
Discrete,> 14 Days,49,SINGAPORE,PCI PRIVATE LIMITED              ,PS064800,Discrete,LF,GE1002042001,V390CH8T,1,4510316152,679,679,3/14/2023 0:00,6/5/2023 0:00,1/1/2049 0:00,0.097,7000,7000,0.0,0,0,31000,0,42000,82000,1000,1000,1000,AMIDFCA97,KK081,"LU, ADELINE (A-01)          "
Discrete,<= 14 Days,11,SINGAPORE,PCI PRIVATE LIMITED              ,PS064800,Discrete,LF,GE1002042000,V390CH8T,1,4510320714,679,679,4/26/2023 0:00,6/1/2023 0:00,1/1/2024 0:00,0.097,7000,7000,0.0,0,0,31000,0,42000,82000,1000,1000,1000,AMIDFCA97,KK081,"LU, ADELINE (A-01)          "
Discrete,<= 14 Days,0,SINGAPORE,PCI PRIVATE LIMITED              ,PS064800,Discrete,LF,GE1002042001,V390CH8T,1,4510311027,0,194,12/16/2022 0:00,6/5/2023 0:00,1/1/2024 0:00,0.097,0,2000,0.0,0,0,31000,0,42000,82000,1000,1000,1000,AMIDFCA97,KK081,"LU, ADELINE (A-01)          "
Discrete,<= 14 Days,7,SINGAPORE,BEYONICS PRECISON (MALAYSIA) SDN ,BS955603,Discrete,INX,CA-828-69912-GRN,IN-S63AT5G-7227,1,2012043963,768,768,3/10/2022 0:00,5/3/2023 0:00,1/1/2049 0:00,0.032,24000,24000,0.0,0,0,0,0,44000,84000,40000,4000,4000,ASMYFCA25,LL009,"SOW, DOUGLAS (A-01)         "
Discrete,<= 14 Days,7,SINGAPORE,BEYONICS PRECISON (MALAYSIA) SDN ,BS955603,Discrete,INX,CA-828-69912-GRN,IN-S63AT5G-7227,1,2012043963,512,512,3/10/2022 0:00,4/30/2023 0:00,1/1/2049 0:00,0.032,16000,16000,0.0,0,0,0,0,44000,84000,40000,4000,4000,ASMYFCA25,LL009,"SOW, DOUGLAS (A-01)         "
Discrete,<= 14 Days,14,SINGAPORE,QUALITY COMPONENTS & SYSTEMS P/L ,QS180000,Discrete,NP3,12800-016,"PESD5V0S1BB,115",1,85989/21/APDS,0,216,4/5/2022 0:00,6/1/2023 0:00,2/1/2024 0:00,0.024,0,9000,0.0,0,0,0,204000,189000,936000,3000,3000,3000,ASSGFCA,LL017,"NG, SHERLING (A-01)         "
Discrete,<= 14 Days,12,SINGAPORE,GES MANUFACTURING SERVICES (M)   ,ES044400,Discrete,LF,C02-0340-0194-12-R,1.5SMC20A,1,4600998625,362.7,362.7,7/6/2021 0:00,6/5/2023 0:00,1/1/2047 0:00,0.1209,3000,3000,0.0,0,0,0,6000,9000,36000,3000,3000,3000,AMGEFOB24,LL017,"TEO, HAZEL (A-01)           "
Discrete,<= 14 Days,10,VIETNAM,XP POWER SINGAPORE MANUFACTURING ,XS005401,Discrete,FSC,IN60000028770,BD17516STU,1,1500030481, 403.20 , 403.20 ,5/9/2022 0:00,6/8/2023 0:00,6/8/2023 0:00,0.21,1920,1920,0.0,0,0,0,0,46080,78720,3840,1920,1920,DEWWDAP45,LL026,"LE, HENRY (A-2R)            "
Discrete,> 14 Days,28,VIETNAM,XP POWER SINGAPORE MANUFACTURING ,XS005401,Discrete,FSC,IN60000028770,BD17516STU,1,1500029567, 403.20 , 403.20 ,5/5/2022 0:00,5/19/2023 0:00,5/19/2023 0:00,0.21,1920,1920,0.0,0,0,0,0,46080,78720,3840,1920,1920,DEWWDAP45,LL026,"LE, HENRY (A-2R)            "
Discrete,> 14 Days,28,VIETNAM,XP POWER SINGAPORE MANUFACTURING ,XS005401,Discrete,FSC,IN60000028770,BD17516STU,1,1500029567, 403.20 , 403.20 ,5/5/2022 0:00,5/19/2023 0:00,5/19/2023 0:00,0.21,1920,1920,0.0,0,0,0,0,46080,78720,3840,1920,1920,DEWWDAP45,LL026,"LE, HENRY (A-2R)            "
Discrete,> 14 Days,28,VIETNAM,XP POWER SINGAPORE MANUFACTURING ,XS005401,Discrete,FSC,IN60000028770,BD17516STU,1,1500029567, 403.20 , 403.20 ,5/5/2022 0:00,5/19/2023 0:00,5/19/2023 0:00,0.21,1920,1920,0.0,0,0,0,0,46080,78720,3840,1920,1920,DEWWDAP45,LL026,"LE, HENRY (A-2R)            "
Discrete,> 14 Days,28,VIETNAM,XP POWER SINGAPORE MANUFACTURING ,XS005401,Discrete,FSC,IN60000028770,BD17516STU,1,1500029567, 403.20 , 403.20 ,5/5/2022 0:00,5/19/2023 0:00,5/19/2023 0:00,0.21,1920,1920,0.0,0,0,0,0,46080,78720,3840,1920,1920,DEWWDAP45,LL026,"LE, HENRY (A-2R)            "
FGC,> 14 Days,35,BANGKOK,"BLUECHIPS MICROHOUSE CO., LTD    ",BS351600,FGC,TI9,68867,TMS320F28034PNT,2,45114090,0,11900,2/23/2023 0:00,5/12/2023 0:00,2/24/2024 0:00,2.5,0,4760,0.0,0,0,0,0,0,17017,119,119,119,ASSAFCA3,MM096,"INCHAN, CHUTHAMAS (A-77)    "
Passive,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Passive,YAG,0611-012,AC0402CRNPO9BN1R8,1,167U62310,280,280,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.002,140000,140000,0.0,0,0,0,0,5400000,7070000,10000,10000,10000,DEWWDAP,KK123,"MEDINA, MYLEEN (A-80)       "
Passive,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Passive,YAG,0611-012,AC0402CRNPO9BN1R8,1,167U62311,260,260,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.002,130000,130000,0.0,0,0,0,0,5400000,7070000,10000,10000,10000,DEWWDAP,KK123,"MEDINA, MYLEEN (A-80)       "
Passive,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Passive,YAG,0611-012,AC0402CRNPO9BN1R8,1,167U62312,240,240,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.002,120000,120000,0.0,0,0,0,0,5400000,7070000,10000,10000,10000,DEWWDAP,KK123,"MEDINA, MYLEEN (A-80)       "
Passive,<= 14 Days,3,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Passive,YAG,0611-012,AC0402CRNPO9BN1R8,1,167U61073,0,360,5/14/2023 0:00,6/15/2023 0:00,6/15/2023 0:00,0.002,0,180000,0.0,0,0,0,0,5400000,7070000,10000,10000,10000,DEWWDAP,KK123,"MEDINA, MYLEEN (A-80)       "
Passive,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Passive,KOA,0609-917,RK73H1HTTC4751F,1,167U62265,136,136,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.0017,80000,80000,0.0,0,0,0,1620000,710000,4640000,10000,10000,10000,DEWWDAP,KK143,"MEDINA, MYLEEN (A-80)       "
Passive,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Passive,KOA,0609-917,RK73H1HTTC4751F,1,167U62266,119,119,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.0017,70000,70000,0.0,0,0,0,1620000,710000,4640000,10000,10000,10000,DEWWDAP,KK143,"MEDINA, MYLEEN (A-80)       "
Passive,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Passive,KOA,0609-917,RK73H1HTTC4751F,1,167U62267,119,119,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.0017,70000,70000,0.0,0,0,0,1620000,710000,4640000,10000,10000,10000,DEWWDAP,KK143,"MEDINA, MYLEEN (A-80)       "
Passive,<= 14 Days,11,SINGAPORE,PNE APPLIANCE CONTROLS PTE LTD   ,PS550000,Passive,KOA,40-3H1JTTD3603B-B,RK73H1JTTD3603F,2,F08167,37.5,37.5,4/4/2023 0:00,6/7/2023 0:00,6/7/2024 0:00,0.0015,25000,25000,0.0,0,0,0,0,0,25000,5000,5000,5000,ASSGFCA,KK143,"NG, BRYAN (A-01)            "
Discrete,<= 14 Days,4,PENANG,AEM MICROTRONICS (M) SDN BHD     ,AS105003,Discrete,LF7,1000104575/EAC33283/IO#2,L60030C1CDINR,3,2001005445 R1,19.97,19.97,5/2/2023 0:00,5/22/2023 0:00,5/3/2024 0:00,19.97,1,1,0.0,0,0,0,0,0,3,1,1,1,ASMYFCA,KK118,FAI ASEAN HOUSE (FAIASEAN)  
Discrete,<= 14 Days,3,PENANG,AEM MICROTRONICS (M) SDN BHD     ,AS105003,Discrete,LF7,1000104576/EAC33283/ESSIO#3,L60030C1CDINR,3,2001005856 R1,0,19.97,5/11/2023 0:00,5/22/2023 0:00,5/11/2024 0:00,19.97,0,1,0.0,0,0,0,0,0,3,1,1,1,ASMYFCA,KK118,FAI ASEAN HOUSE (FAIASEAN)  
Discrete,<= 14 Days,3,PENANG,AEM MICROTRONICS (M) SDN BHD     ,AS105003,Discrete,LF7,1000104579/EAC33283/ESSIO#1,L60030C1CDINR,3,2001005901,0,19.97,5/11/2023 0:00,5/22/2023 0:00,5/12/2024 0:00,19.97,0,1,0.0,0,0,0,0,0,3,1,1,1,ASMYFCA,KK118,FAI ASEAN HOUSE (FAIASEAN)  
Passive,> 14 Days,220,VIETNAM,SPARTRONICS VIETNAM INC.         ,SS971702,Passive,PA3,PE-ERMF00088,ERA-3AEB163V,1,41027808, 514.00 , 514.00 ,9/30/2021 0:00,4/28/2023 0:00,5/1/2023 0:00,0.0257,20000,20000,0.0,0,0,0,0,0,215000,5000,5000,5000,ASSAFCA,KK143,"VO, DUCHIEU (A-2R)          "
Passive,> 14 Days,126,VIETNAM,SPARTRONICS VIETNAM INC.         ,SS971702,Passive,PA3,PE-ERMF00088,ERA-3AEB163V,1,41028117, 385.50 , 385.50 ,10/15/2021 0:00,4/28/2023 0:00,12/16/2023 0:00,0.0257,15000,15000,0.0,0,0,0,0,0,215000,5000,5000,5000,ASSAFCA,KK143,"VO, DUCHIEU (A-2R)          "
Discrete,<= 14 Days,3,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Discrete,ON,0556-548,SZESD8351P2T5G,1,167U60924,0,6373.6,5/14/2023 0:00,6/15/2023 0:00,6/15/2023 0:00,0.0257,0,248000,0.0,0,0,0,0,9208000,12280000,16000,8000,8000,DEWWDAP,LL017,"MEDINA, MYLEEN (A-80)       "
Discrete,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Discrete,ON,0556-548,SZESD8351P2T5G,1,167U61979,11513.6,11513.6,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.0257,448000,448000,0.0,0,0,0,0,9208000,12280000,16000,8000,8000,DEWWDAP,LL017,"MEDINA, MYLEEN (A-80)       "
Discrete,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Discrete,ON,0556-548,SZESD8351P2T5G,1,167U61980,11513.6,8840.8,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.0257,448000,344000,104000.0,0,0,0,0,9208000,12280000,16000,8000,8000,DEWWDAP,LL017,"MEDINA, MYLEEN (A-80)       "
Passive,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Passive,KOA,0609-644,RK73H1HTTC6041F,1,167U62230,136,136,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.0017,80000,80000,0.0,0,0,0,1120000,0,1690000,10000,10000,10000,DEWWDAP,KK143,"MEDINA, MYLEEN (A-80)       "
Passive,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Passive,KOA,0609-644,RK73H1HTTC6041F,1,167U62231,119,119,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.0017,70000,70000,0.0,0,0,0,1120000,0,1690000,10000,10000,10000,DEWWDAP,KK143,"MEDINA, MYLEEN (A-80)       "
Passive,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Passive,KOA,0609-644,RK73H1HTTC6041F,1,167U62232,119,119,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.0017,70000,70000,0.0,0,0,0,1120000,0,1690000,10000,10000,10000,DEWWDAP,KK143,"MEDINA, MYLEEN (A-80)       "
FLS,> 14 Days,40,SINGAPORE,SIMLITE PRIVATE LIMITED          ,SS131700,FLS,OSM,4062172152969,4062172152969,3,PO/SL/1016/23,1098.536553,285.619504,3/1/2023 0:00,4/20/2023 0:00,3/8/2024 0:00,29.43,50,13,37.0,0,0,0,20,340,170,100,20,20,ASSGFCA,KK561,FAI ASEAN HOUSE (FAIASEAN)  
Passive,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Passive,YAG,0578-138,AC0201JR-07100RL,1,167U62070,48,48,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.0008,60000,60000,0.0,0,0,0,860000,640000,1800000,20000,10000,10000,DEWWDAP,KK143,"MEDINA, MYLEEN (A-80)       "
Passive,<= 14 Days,11,SINGAPORE,PCI PRIVATE LIMITED              ,PS955300,Passive,KOA,RGRE001000,RK73H2HTTE10R0F,1,4510313996,56,56,2/3/2023 0:00,6/7/2023 0:00,3/2/2024 0:00,0.014,4000,4000,0.0,0,0,0,76000,0,24000,4000,4000,4000,AMIDFCA97,KK143,"LU, ADELINE (A-01)          "
Passive,<= 14 Days,3,VIETNAM,VINFAST TRADING AND PRODUCTION   ,VS021500,Passive,PA3,101101098,EEE-FT1E471AP,1,4100011927," 2,847.60 "," 2,847.60 ",4/16/2023 0:00,4/17/2023 0:00,4/16/2024 0:00,0.2034,14000,14000,0.0,0,0,0,14000,13500,75000,3000,500,500,ASSAFCA,KK588,"VU, STEVEN (A-2R)           "
Passive,<= 14 Days,3,VIETNAM,VINFAST TRADING AND PRODUCTION   ,VS021500,Passive,PA3,101101098,EEE-FT1E471AP,1,4100011927," 3,051.00 "," 3,051.00 ",4/16/2023 0:00,4/17/2023 0:00,4/16/2024 0:00,0.2034,15000,15000,0.0,0,0,0,14000,13500,75000,3000,500,500,ASSAFCA,KK588,"VU, STEVEN (A-2R)           "
Passive,> 14 Days,63,VIETNAM,VINFAST TRADING AND PRODUCTION   ,VS021500,Passive,PA3,101101098,EEE-FT1E471AP,1,4100011928.," 9,356.40 "," 5,898.60 ",4/13/2023 0:00,4/14/2023 0:00,4/11/2024 0:00,0.2034,46000,29000,17000.0,0,0,0,14000,13500,75000,3000,500,500,ASSAFCA,KK588,"VU, STEVEN (A-2R)           "
Passive,<= 14 Days,0,SINGAPORE,ITG ELECTRONICS (MALAYSIA)SDN BHD,PS003700,Passive,PA3,FP100-134382-RZ1,EEE-FK1A102P,1,D276914-A.,73.45,73.45,10/4/2021 0:00,9/4/2022 0:00,6/22/2023 0:00,0.1469,500,500,0.0,0,0,0,0,12500,18500,3000,500,500,AMMYFCA13,KK588,"YAP, TERENCE (A-01)         "
Passive,<= 14 Days,0,SINGAPORE,ITG ELECTRONICS (MALAYSIA)SDN BHD,PS003700,Passive,PA3,FP100-134382-RZ1,EEE-FK1A102P,1,D276915-A..,146.9,146.9,11/18/2021 0:00,9/4/2022 0:00,6/22/2023 0:00,0.1469,1000,1000,0.0,0,0,0,0,12500,18500,3000,500,500,AMMYFCA13,KK588,"YAP, TERENCE (A-01)         "
Passive,<= 14 Days,0,VIETNAM,GLOBIOTS TECHNOLOGIES INC        ,GS038800,Passive,PA3,EEE-HA1A102P,EEE-FK1A102P,3,PO/2022/00215, -   ," 1,170.00 ",8/7/2022 0:00,12/5/2022 0:00,8/8/2023 0:00,0.39,0,3000,0.0,0,0,0,0,12500,18500,3000,500,500,ASSAFCA,KK588,FAI ASEAN HOUSE (FAIASEAN)  
Passive,<= 14 Days,10,SINGAPORE,OSI ELECTRONICS PTE LTD          ,OS956900,Passive,AVX,BA1017784R2-1,08055F472K4T2A,1,PO00321026AUTO,280.8,280.8,6/8/2022 0:00,6/8/2023 0:00,1/1/2049 0:00,0.0234,12000,12000,0.0,0,0,0,0,80000,120000,4000,4000,4000,ASIDFCA9,KK123,"NG, BRYAN (A-01)            "
Passive,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Passive,RHM,0609-792,MCR006YLPJ100,1,167U62235,244.35,244.35,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.00181,135000,135000,0.0,0,0,0,1635000,2070000,7005000,15000,15000,15000,DEWWDAP,KK143,"MEDINA, MYLEEN (A-80)       "
Passive,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Passive,RHM,0609-792,MCR006YLPJ100,1,167U62236,217.2,217.2,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.00181,120000,120000,0.0,0,0,0,1635000,2070000,7005000,15000,15000,15000,DEWWDAP,KK143,"MEDINA, MYLEEN (A-80)       "
Passive,<= 14 Days,0,MANILA,MITSUMI PHILIPPINES INC.         ,MS699101,Passive,RHM,0609-792,MCR006YLPJ100,1,167U62237,217.2,217.2,6/13/2023 0:00,6/16/2023 0:00,6/16/2024 0:00,0.00181,120000,120000,0.0,0,0,0,1635000,2070000,7005000,15000,15000,15000,DEWWDAP,KK143,"MEDINA, MYLEEN (A-80)       "
Passive,> 14 Days,112,VIETNAM,SPARTRONICS VIETNAM INC.         ,SS971702,Passive,PA3,PE-ERMF00088,ERA-3AEB163V,1,41029010, 771.00 , 771.00 ,11/23/2021 0:00,2/10/2023 0:00,12/16/2023 0:00,0.0257,30000,30000,0.0,0,0,0,0,0,215000,5000,5000,5000,ASSAFCA,KK143,"VO, DUCHIEU (A-2R)          "
Passive,> 14 Days,220,VIETNAM,SPARTRONICS VIETNAM INC.         ,SS971702,Passive,PA3,PE-ERMF00088,ERA-3AEB163V,1,41027808, 514.00 , 514.00 ,9/30/2021 0:00,4/28/2023 0:00,4/3/2024 0:00,0.0257,20000,20000,0.0,0,0,0,0,0,215000,5000,5000,5000,ASSAFCA,KK143,"VO, DUCHIEU (A-2R)          "
Passive,> 14 Days,126,VIETNAM,SPARTRONICS VIETNAM INC.         ,SS971702,Passive,PA3,PE-ERMF00088,ERA-3AEB163V,1,41028117, 385.50 , 385.50 ,10/15/2021 0:00,4/28/2023 0:00,9/9/2023 0:00,0.0257,15000,15000,0.0,0,0,0,0,0,215000,5000,5000,5000,ASSAFCA,KK143,"VO, DUCHIEU (A-2R)          "
Passive,> 14 Days,126,VIETNAM,SPARTRONICS VIETNAM INC.         ,SS971702,Passive,PA3,PE-ERMF00088,ERA-3AEB163V,1,41028117, 771.00 , 771.00 ,10/15/2021 0:00,4/28/2023 0:00,12/16/2023 0:00,0.0257,30000,30000,0.0,0,0,0,0,0,215000,5000,5000,5000,ASSAFCA,KK143,"VO, DUCHIEU (A-2R)          "
